address,Latitude,Longitude,suic
South Korea,35.907757,127.766922,24.7
Republika Slovenija,46.151241,14.995463,17.5
Latvijas Republika,56.879635,24.603189,17.5
Kingdom of Belgium,50.503887,4.469936,15.8
Japan,36.204824,138.252924,15.2
Hungary,47.162494,19.5033041,15.2
United States of America,37.09024,-95.712891,13.9
Suomen tasavalta,61.92411,25.7481511,13.9
France,46.227638,2.213749,12.5
Estonia,58.595272,25.0136071,12.3
Czech republika,49.817492,15.472962,12.2
Republik Österreich,47.516231,14.550072,12.2
Commonwealth of Australia,-25.274398,133.775136,11.9
Canada,56.130366,-106.346771,11.7
Rzeczpospolita Polska,51.919438,19.145136,11.5
Kongeriket Norge,60.472024,8.468946,11.5
New Zealand,-40.900557,174.885971,11.5
Schweiz,46.818188,8.227512,11
Sverige,60.128161,18.643501,10.8
Chile,-35.675147,-71.542969,10.5
Netherlands,52.132633,5.291266,10.5
Germany,51.165691,10.451526,10.2
slovakia,48.669026,19.699024,9.8
island,36.4853478,-93.7321378,9.4
Danmark,56.26392,9.501785,9.2
Ireland,53.1423672,-7.6920536,9.1
Portugal,39.399872,-8.224454,7.7
United Kingdom of Great Britain and Northern Ireland,55.378051,-3.435973,7.3
Groussherzogtum Lëtzebuerg,49.815273,6.129583,7.3
spain,40.463667,-3.74922,6.1
italy,41.87194,12.56738,5.2
mexico,23.634501,-102.552784,5.1
State of Israel,31.046051,34.851612,5.1
Greece,39.074208,21.824312,4
Turkey,38.963745,35.243322,2.6
